Pick,L1_Value,L2_Value,Jimmy_Johnson
1,3000.0,3000.0,3000
2,2996.98,2999.97,2600
3,2991.78,2999.84,2200
4,2985.25,2999.59,1800
5,2977.68,2999.2,1700
6,2969.23,2998.64,1600
7,2960.01,2997.9,1500
8,2950.11,2996.97,1400
9,2939.6,2995.84,1350
10,2928.53,2994.5,1300
11,2916.94,2992.95,1250
12,2904.86,2991.16,1200
13,2892.35,2989.14,1150
14,2879.41,2986.87,1100
15,2866.09,2984.35,1050
16,2852.39,2981.58,1000
17,2838.36,2978.54,950
18,2824.0,2975.24,900
19,2809.33,2971.66,875
20,2794.38,2967.81,850
21,2779.15,2963.67,800
22,2763.67,2959.24,780
23,2747.94,2954.52,760
24,2731.98,2949.51,740
25,2715.81,2944.19,720
26,2699.43,2938.58,700
27,2682.86,2932.66,680
28,2666.11,2926.43,660
29,2649.19,2919.89,640
30,2632.1,2913.04,620
31,2614.86,2905.87,600
32,2597.49,2898.39,590
33,2579.97,2890.59,580
34,2562.33,2882.47,560
35,2544.58,2874.03,550
36,2526.72,2865.27,540
37,2508.75,2856.18,530
38,2490.7,2846.78,520
39,2472.55,2837.05,510
40,2454.33,2827.0,500
41,2436.03,2816.63,490
42,2417.67,2805.93,480
43,2399.25,2794.92,470
44,2380.77,2783.58,460
45,2362.25,2771.92,450
46,2343.68,2759.95,440
47,2325.08,2747.66,430
48,2306.45,2735.06,420
49,2287.79,2722.14,410
50,2269.11,2708.91,400
51,2250.41,2695.37,390
52,2231.71,2681.53,380
53,2212.99,2667.38,370
54,2194.28,2652.93,360
55,2175.56,2638.19,350
56,2156.86,2623.15,340
57,2138.16,2607.82,330
58,2119.48,2592.2,320
59,2100.81,2576.3,310
60,2082.17,2560.12,300
61,2063.56,2543.67,292
62,2044.97,2526.94,284
63,2026.42,2509.95,276
64,2007.91,2492.69,270
65,1989.43,2475.18,265
66,1971.0,2457.41,260
67,1952.61,2439.4,255
68,1934.27,2421.15,250
69,1915.99,2402.66,245
70,1897.75,2383.93,240
71,1879.58,2364.98,235
72,1861.46,2345.82,230
73,1843.41,2326.43,225
74,1825.42,2306.84,220
75,1807.5,2287.05,215
76,1789.65,2267.06,210
77,1771.87,2246.89,205
78,1754.16,2226.53,200
79,1736.53,2205.99,195
80,1718.98,2185.28,190
81,1701.5,2164.41,185
82,1684.11,2143.39,180
83,1666.8,2122.21,175
84,1649.58,2100.89,170
85,1632.44,2079.44,165
86,1615.39,2057.85,160
87,1598.43,2036.15,155
88,1581.57,2014.33,150
89,1564.79,1992.4,145
90,1548.11,1970.37,140
91,1531.53,1948.25,136
92,1515.04,1926.05,132
93,1498.65,1903.76,128
94,1482.36,1881.41,124
95,1466.17,1858.99,120
96,1450.08,1836.51,116
97,1434.09,1813.99,112
98,1418.2,1791.42,108
99,1402.42,1768.82,104
100,1386.75,1746.19,100
101,1371.18,1723.54,100
102,1355.72,1700.88,96
103,1340.36,1678.21,92
104,1325.11,1655.55,88
105,1309.97,1632.89,86
106,1294.94,1610.25,84
107,1280.02,1587.63,82
108,1265.21,1565.03,80
109,1250.51,1542.48,78
